subj_age_group,stop_resolution,weapon,off_gender,off_race,subj_perceived_race,subj_perceived_gender,call_type,frisk_flag,beat,date,off_age
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,42
1 - 17,0,None,0,American Indian/Alaska Native,Black or African American,0,0,1,R,2015,32
1 - 17,1,None,0,White,Multi-Racial,0,0,1,L,2015,30
1 - 17,0,None,0,White,White,0,0,1,M,2015,25
1 - 17,0,None,0,White,Multi-Racial,1,0,1,L,2015,46
1 - 17,0,None,0,White,Black or African American,1,0,0,M,2015,25
1 - 17,0,None,0,White,White,0,0,0,U,2015,30
1 - 17,0,None,0,White,White,0,1,1,M,2015,25
1 - 17,0,None,0,White,White,0,1,0,M,2015,25
1 - 17,1,None,0,White,Black or African American,1,1,1,N,2015,34
1 - 17,0,None,0,White,Black or African American,1,0,0,W,2015,30
1 - 17,0,None,0,White,Black or African American,0,0,1,W,2015,30
1 - 17,0,None,0,White,Black or African American,0,1,0,N,2015,33
1 - 17,0,None,0,White,Black or African American,1,1,0,N,2015,33
1 - 17,0,None,0,White,Black or African American,0,1,1,S,2015,29
1 - 17,0,None,0,White,Black or African American,0,0,1,G,2015,25
1 - 17,0,None,0,White,Black or African American,0,0,0,N,2015,50
1 - 17,0,None,0,White,Asian,0,0,0,Q,2015,29
1 - 17,0,None,0,White,White,0,0,0,Q,2015,29
1 - 17,0,None,0,American Indian/Alaska Native,Black or African American,0,0,1,R,2015,32
1 - 17,1,None,0,White,White,0,1,0,R,2015,40
1 - 17,1,None,0,White,Black or African American,1,None,1,B,2015,33
1 - 17,0,None,0,White,Black or African American,0,1,0,N,2015,33
1 - 17,0,None,0,White,Black or African American,0,1,0,N,2015,33
1 - 17,0,None,0,White,Black or African American,1,0,0,N,2015,53
1 - 17,0,None,0,White,Black or African American,0,None,1,E,2015,32
1 - 17,0,None,1,White,Black or African American,0,None,0,K,2015,30
1 - 17,0,None,0,White,Black or African American,0,None,0,N,2015,46
1 - 17,0,None,1,White,White,1,0,0,C,2015,29
1 - 17,0,None,1,Black or African American,Asian,1,0,0,E,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,0,E,2015,38
1 - 17,0,None,1,White,Black or African American,1,0,0,G,2015,27
1 - 17,0,None,1,White,Black or African American,0,0,0,G,2015,27
1 - 17,1,None,0,American Indian/Alaska Native,Black or African American,0,0,0,G,2015,32
1 - 17,1,Firearm,0,White,Black or African American,1,1,1,S,2015,50
1 - 17,1,None,0,White,Black or African American,0,0,0,J,2015,31
1 - 17,0,None,0,American Indian/Alaska Native,Black or African American,0,0,1,R,2015,32
1 - 17,1,None,0,Asian,White,0,0,0,B,2015,30
1 - 17,1,Firearm,0,White,White,0,0,1,L,2015,30
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,36
1 - 17,0,None,0,White,Black or African American,0,0,0,W,2015,38
1 - 17,0,Firearm,0,White,Black or African American,0,0,0,R,2015,35
1 - 17,0,None,0,White,Multi-Racial,1,0,1,L,2015,46
1 - 17,0,None,0,White,Black or African American,0,0,0,W,2015,30
1 - 17,0,None,0,White,Hispanic,1,1,0,N,2015,33
1 - 17,1,None,0,White,Hispanic,0,1,1,N,2015,33
1 - 17,0,None,1,White,Black or African American,0,0,1,G,2015,25
1 - 17,0,None,0,White,Black or African American,0,0,0,N,2015,37
1 - 17,1,None,0,White,Black or African American,0,0,1,G,2015,44
1 - 17,0,None,1,White,Multi-Racial,1,0,1,G,2015,29
1 - 17,1,None,0,White,Hispanic,0,0,0,F,2015,38
1 - 17,0,None,0,White,White,0,0,0,J,2015,26
1 - 17,0,None,0,White,White,0,0,0,J,2015,26
1 - 17,0,None,1,White,Asian,0,0,0,J,2015,33
1 - 17,0,None,0,White,Multi-Racial,0,0,0,L,2015,42
1 - 17,0,Firearm,0,White,White,0,0,0,J,2015,37
1 - 17,0,None,0,White,Black or African American,0,0,0,J,2015,37
1 - 17,1,None,0,White,White,0,0,0,J,2015,46
1 - 17,1,None,0,White,Multi-Racial,0,0,1,Q,2015,48
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,0,Black or African American,White,0,0,1,F,2015,47
1 - 17,0,None,1,White,Black or African American,0,0,0,J,2015,33
1 - 17,0,None,1,White,Black or African American,0,0,0,J,2015,33
1 - 17,0,None,1,White,Black or African American,0,0,1,G,2015,25
1 - 17,0,None,0,White,Black or African American,0,0,0,N,2015,37
1 - 17,1,None,0,White,Hispanic,0,0,0,F,2015,38
1 - 17,0,None,0,White,White,0,0,0,J,2015,26
1 - 17,0,None,0,White,White,0,0,0,J,2015,26
1 - 17,1,None,0,White,White,0,0,0,B,2015,29
1 - 17,0,Firearm,0,White,White,0,0,0,J,2015,37
1 - 17,0,None,0,White,Black or African American,0,1,0,S,2015,29
1 - 17,0,None,0,White,Multi-Racial,0,0,0,N,2015,37
1 - 17,1,None,0,White,White,1,0,1,N,2015,53
1 - 17,0,None,0,White,White,0,0,0,R,2015,42
1 - 17,0,None,0,White,Black or African American,1,1,0,R,2015,43
1 - 17,0,None,0,White,Black or African American,1,1,0,R,2015,43
1 - 17,0,None,0,White,American Indian or Alaska Native,0,0,0,M,2015,38
1 - 17,0,None,0,White,Multi-Racial,0,0,0,L,2015,42
1 - 17,0,Firearm,0,White,Hispanic,0,0,0,J,2015,37
1 - 17,1,None,0,White,White,0,1,0,M,2015,30
1 - 17,1,None,0,White,Asian,0,0,1,J,2015,37
1 - 17,0,Firearm,0,White,White,0,0,0,U,2015,36
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,1,White,Black or African American,0,0,0,W,2015,30
1 - 17,1,None,0,White,White,0,1,0,N,2015,36
1 - 17,0,None,0,White,Black or African American,0,1,0,F,2015,34
1 - 17,1,Blade,1,White,Hispanic,0,0,1,L,2015,31
1 - 17,0,None,0,White,White,0,0,0,L,2015,34
1 - 17,1,None,1,White,Hispanic,0,0,0,R,2015,33
1 - 17,0,None,0,White,White,0,0,0,W,2015,33
1 - 17,0,None,1,White,Black or African American,1,0,0,M,2015,43
1 - 17,0,None,1,White,Black or African American,0,0,0,M,2015,43
1 - 17,0,Firearm,0,White,Black or African American,0,1,1,R,2015,54
1 - 17,0,None,1,White,Black or African American,0,0,0,W,2015,30
1 - 17,0,None,1,White,Black or African American,0,0,0,W,2015,30
1 - 17,0,None,1,White,Black or African American,0,0,0,W,2015,30
1 - 17,1,None,0,White,Black or African American,1,1,0,N,2015,36
1 - 17,1,None,0,Hispanic or Latino,Multi-Racial,0,0,1,F,2015,47
1 - 17,0,None,0,Hispanic or Latino,Black or African American,0,0,0,L,2015,33
1 - 17,0,None,0,White,Black or African American,0,1,0,F,2015,34
1 - 17,1,None,0,White,White,1,0,0,U,2015,31
1 - 17,0,None,0,White,White,0,0,0,B,2015,53
1 - 17,0,None,0,White,Black or African American,0,0,0,W,2015,33
1 - 17,0,None,0,White,White,0,None,0,Q,2015,50
1 - 17,1,None,0,White,Black or African American,0,0,1,B,2015,45
1 - 17,0,None,1,White,White,0,0,0,J,2015,33
1 - 17,0,None,0,White,White,0,0,1,B,2015,39
1 - 17,0,None,0,White,White,0,0,1,B,2015,39
1 - 17,1,Blade,0,White,Black or African American,0,1,1,E,2015,31
1 - 17,0,None,0,White,White,0,0,0,U,2015,36
1 - 17,0,None,1,White,Black or African American,0,0,0,M,2015,43
1 - 17,1,None,0,White,Asian,0,1,1,K,2015,46
1 - 17,1,Blade,0,Hispanic or Latino,Hispanic,0,0,1,F,2015,47
1 - 17,0,None,0,Hispanic or Latino,Black or African American,0,0,0,L,2015,33
1 - 17,1,None,1,White,Black or African American,0,0,1,L,2015,31
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,32
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,34
1 - 17,0,None,0,White,American Indian or Alaska Native,0,0,0,R,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,34
1 - 17,0,None,1,White,Black or African American,0,1,1,S,2015,27
1 - 17,1,None,1,White,White,1,1,0,W,2015,29
1 - 17,1,Firearm,0,White,Black or African American,0,0,1,K,2015,32
1 - 17,1,None,1,White,Black or African American,1,0,0,G,2015,30
1 - 17,1,None,1,White,Black or African American,1,0,0,G,2015,30
1 - 17,1,None,0,White,White,0,1,0,Q,2015,33
1 - 17,0,None,0,White,Asian,0,0,0,R,2015,29
1 - 17,0,None,0,White,Black or African American,0,0,0,E,2015,38
1 - 17,1,None,0,Asian,Multi-Racial,0,0,0,B,2015,31
1 - 17,1,Blade,1,White,Black or African American,0,0,1,L,2015,31
1 - 17,0,None,1,White,Hispanic,1,0,0,R,2015,33
1 - 17,0,None,0,White,American Indian or Alaska Native,0,0,0,M,2015,32
1 - 17,0,None,0,White,Asian,0,1,0,Q,2015,51
1 - 17,0,None,0,White,White,0,0,1,D,2015,56
1 - 17,0,None,0,White,Black or African American,0,1,0,S,2015,37
1 - 17,0,None,0,White,White,1,0,0,L,2015,29
1 - 17,1,None,1,White,White,1,1,0,W,2015,29
1 - 17,0,None,1,Asian,Black or African American,0,0,0,S,2015,35
1 - 17,1,None,1,White,Black or African American,1,0,0,G,2015,30
1 - 17,0,None,0,White,Asian,0,0,0,R,2015,29
1 - 17,1,None,0,White,Black or African American,0,1,0,E,2015,24
1 - 17,1,None,0,Asian,Black or African American,0,0,0,B,2015,31
1 - 17,0,None,0,White,Black or African American,1,0,1,R,2015,44
1 - 17,1,None,0,White,Multi-Racial,0,0,1,E,2015,29
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2015,29
1 - 17,0,None,0,White,White,0,0,0,W,2015,34
1 - 17,1,None,1,White,Black or African American,0,None,0,G,2015,35
1 - 17,1,None,0,White,Black or African American,0,0,1,K,2015,33
1 - 17,0,None,0,White,Black or African American,1,0,0,U,2015,31
1 - 17,0,None,1,Two or More Races,Black or African American,1,0,0,M,2015,23
1 - 17,0,None,1,Two or More Races,Black or African American,1,0,0,M,2015,23
1 - 17,0,None,0,Black or African American,White,1,0,0,J,2015,48
1 - 17,0,None,0,White,Asian,0,0,0,J,2015,30
1 - 17,0,None,0,White,Black or African American,1,1,0,S,2015,37
1 - 17,0,None,0,White,Black or African American,0,1,0,S,2015,37
1 - 17,1,Firearm,1,White,Multi-Racial,0,0,1,F,2015,30
1 - 17,0,None,0,White,White,0,1,0,E,2015,41
1 - 17,0,None,0,White,Black or African American,0,1,1,W,2015,47
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,29
1 - 17,1,None,0,White,Black or African American,0,None,1,G,2015,33
1 - 17,0,None,0,White,Black or African American,0,0,0,K,2015,33
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2015,29
1 - 17,0,None,0,White,Black or African American,1,None,0,F,2015,50
1 - 17,0,None,0,White,Hispanic,0,0,1,R,2015,36
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2015,27
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2015,27
1 - 17,0,None,0,White,Black or African American,0,1,1,E,2015,42
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2015,27
1 - 17,0,None,0,White,Black or African American,0,0,1,S,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,1,R,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,1,R,2015,36
1 - 17,0,None,0,White,Black or African American,0,0,1,R,2015,36
1 - 17,1,None,0,White,White,1,0,0,E,2015,23
1 - 17,0,None,0,Black or African American,Black or African American,0,0,1,R,2015,48
1 - 17,1,None,0,White,Black or African American,0,0,0,G,2015,30
1 - 17,1,None,1,White,Black or African American,0,0,0,G,2015,30
1 - 17,0,None,1,White,Black or African American,0,0,0,J,2015,27
1 - 17,0,None,0,White,Black or African American,0,None,1,G,2015,24
1 - 17,0,None,0,White,Black or African American,1,1,1,E,2015,31
1 - 17,0,None,0,White,Black or African American,0,1,1,E,2015,42
1 - 17,0,None,0,White,American Indian or Alaska Native,0,None,1,S,2015,32
1 - 17,0,None,0,White,White,0,0,0,F,2015,28
1 - 17,1,None,0,White,Black or African American,1,1,0,N,2015,34
1 - 17,0,None,0,White,Black or African American,1,0,0,W,2015,30
1 - 17,0,None,1,White,Black or African American,0,0,1,G,2015,25
1 - 17,0,None,0,White,Asian,0,0,0,B,2015,41
1 - 17,1,None,1,White,Black or African American,1,0,0,G,2015,30
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,35
1 - 17,1,None,0,White,Hispanic,0,0,0,F,2015,38
1 - 17,1,None,0,White,American Indian or Alaska Native,1,0,0,F,2015,36
1 - 17,0,None,0,White,Black or African American,1,0,1,J,2015,33
1 - 17,0,None,0,White,Black or African American,1,0,1,J,2015,33
1 - 17,0,None,0,Hispanic or Latino,White,1,0,0,F,2015,47
1 - 17,0,None,0,White,Black or African American,1,0,1,R,2015,45
1 - 17,0,None,1,White,Black or African American,1,0,0,M,2015,43
1 - 17,1,None,0,White,Black or African American,1,1,0,N,2015,36
1 - 17,1,None,0,White,Multi-Racial,0,0,1,O,2015,29
1 - 17,0,None,1,White,Black or African American,0,1,0,L,2015,45
1 - 17,1,None,0,White,Black or African American,1,0,0,G,2015,34
1 - 17,0,None,0,Hispanic or Latino,Black or African American,0,0,0,L,2015,33
1 - 17,0,None,1,White,Multi-Racial,1,0,1,L,2015,31
1 - 17,0,None,0,White,White,0,0,0,F,2015,50
1 - 17,0,None,0,White,American Indian or Alaska Native,1,0,0,M,2015,32
1 - 17,0,None,0,White,Black or African American,0,0,0,R,2015,34
1 - 17,0,None,1,White,Black or African American,0,1,0,S,2015,33
1 - 17,1,None,0,White,White,1,0,0,N,2015,34
1 - 17,0,None,0,White,White,0,1,0,E,2015,41
1 - 17,0,None,0,White,Asian,0,0,0,R,2015,29
1 - 17,1,Firearm,0,Two or More Races,Black or African American,0,1,1,M,2015,33
1 - 17,0,None,0,White,Black or African American,0,0,0,J,2015,46
1 - 17,1,None,1,White,Black or African American,0,0,1,E,2015,45
1 - 17,0,None,0,White,Black or African American,1,None,0,F,2015,50
1 - 17,0,None,0,White,White,0,0,0,W,2015,34
1 - 17,1,None,0,White,Multi-Racial,0,0,1,R,2015,44
1 - 17,0,None,0,White,White,0,0,0,F,2015,36
1 - 17,1,None,1,White,Multi-Racial,0,0,0,K,2015,23
1 - 17,1,None,1,White,Black or African American,0,0,0,G,2015,30
1 - 17,0,None,0,White,Black or African American,1,1,1,S,2015,34
1 - 17,0,None,1,White,Black or African American,0,0,1,F,2015,34
1 - 17,1,None,0,White,American Indian or Alaska Native,0,0,1,S,2015,32
1 - 17,1,Firearm,0,White,Black or African American,0,0,1,S,2015,34
1 - 17,0,None,0,White,White,0,0,0,W,2015,34
1 - 17,0,None,0,Hispanic or Latino,Multi-Racial,0,0,0,M,2015,30
1 - 17,1,None,1,White,Black or African American,0,0,0,G,2015,30
1 - 17,1,None,0,White,Asian,0,0,0,R,2015,31
1 - 17,1,None,0,White,Asian,0,0,0,R,2015,31
1 - 17,0,None,0,White,Asian,0,0,1,R,2015,34
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,34
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,31
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,31
1 - 17,1,None,0,White,American Indian or Alaska Native,0,0,0,L,2015,38
1 - 17,1,None,1,White,Black or African American,0,0,0,M,2015,26
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,25
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,25
1 - 17,1,None,0,White,Multi-Racial,0,0,1,J,2016,43
1 - 17,0,None,0,White,Black or African American,0,0,1,S,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,1,S,2015,32
1 - 17,1,None,0,White,Black or African American,0,0,1,S,2015,34
1 - 17,0,None,0,White,Hispanic,1,0,0,F,2015,31
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,25
1 - 17,0,None,0,White,White,0,None,0,E,2016,32
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,25
1 - 17,0,None,0,White,White,0,None,0,G,2016,44
1 - 17,0,None,0,White,White,0,None,0,Q,2016,48
1 - 17,0,None,0,White,White,1,None,0,M,2016,58
1 - 17,0,None,0,White,Black or African American,0,0,0,Q,2016,30
1 - 17,0,None,0,White,White,0,0,1,Q,2016,30
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,White,0,0,1,L,2016,41
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,0,1,F,2016,34
1 - 17,1,None,0,White,Black or African American,1,None,1,R,2016,28
1 - 17,0,None,1,Asian,Black or African American,0,0,0,S,2016,36
1 - 17,0,None,1,Asian,Black or African American,0,0,0,S,2016,36
1 - 17,0,None,0,Asian,Black or African American,0,0,0,W,2016,54
1 - 17,1,None,0,White,Black or African American,0,0,1,Q,2016,49
1 - 17,0,None,0,White,White,0,None,0,E,2016,32
1 - 17,0,None,0,White,White,0,None,0,C,2016,31
1 - 17,0,None,0,White,Black or African American,1,None,0,Q,2016,54
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,0,0,F,2016,34
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,L,2016,46
1 - 17,0,None,1,White,White,0,1,0,M,2016,24
1 - 17,0,None,1,White,White,0,1,0,M,2016,24
1 - 17,0,None,1,White,Hispanic,0,1,0,M,2016,24
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2016,33
1 - 17,0,None,0,Asian,American Indian or Alaska Native,0,0,0,L,2016,63
1 - 17,0,None,0,White,White,0,0,0,W,2016,27
1 - 17,1,None,0,Black or African American,White,1,0,1,L,2016,46
1 - 17,0,None,0,White,White,0,1,0,J,2016,36
1 - 17,0,None,1,White,Hispanic,0,None,0,W,2016,32
1 - 17,0,None,0,White,White,0,0,0,Q,2016,30
1 - 17,0,None,0,White,Black or African American,0,1,1,G,2016,41
1 - 17,0,None,0,White,Black or African American,1,0,0,S,2016,37
1 - 17,0,None,0,White,White,0,0,0,Q,2016,30
1 - 17,0,None,0,White,Black or African American,1,1,1,G,2016,41
1 - 17,1,None,0,White,American Indian or Alaska Native,0,0,0,G,2016,39
1 - 17,0,None,0,White,Black or African American,0,0,1,N,2016,37
1 - 17,0,None,0,White,Black or African American,0,0,1,F,2016,37
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,L,2016,46
1 - 17,0,None,1,White,Hispanic,0,1,0,M,2016,24
1 - 17,1,None,0,White,Black or African American,0,0,0,M,2016,46
1 - 17,1,None,0,White,Black or African American,0,0,0,M,2016,46
1 - 17,1,None,0,White,American Indian or Alaska Native,0,0,0,M,2016,46
1 - 17,1,None,0,White,Black or African American,0,0,1,S,2016,42
1 - 17,0,None,0,White,Black or African American,0,0,1,R,2016,41
1 - 17,0,None,0,White,White,1,0,0,B,2016,38
1 - 17,0,None,0,White,White,1,0,0,B,2016,38
1 - 17,0,None,0,White,White,0,0,0,B,2016,38
1 - 17,0,None,0,American Indian/Alaska Native,Black or African American,0,0,0,E,2016,33
1 - 17,0,None,0,White,Black or African American,0,0,1,U,2016,36
1 - 17,0,None,1,White,Black or African American,0,0,0,B,2016,45
1 - 17,0,None,1,Asian,Black or African American,0,0,0,S,2016,36
1 - 17,0,None,0,Asian,Black or African American,0,0,1,W,2016,54
1 - 17,0,None,0,Asian,Black or African American,0,0,0,L,2016,63
1 - 17,1,None,0,Two or More Races,Hispanic,0,0,0,J,2016,28
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,0,1,R,2016,26
1 - 17,1,Blade,1,White,Hispanic,0,0,1,F,2016,31
1 - 17,1,None,0,White,White,0,0,0,E,2016,27
1 - 17,1,None,0,White,White,0,0,0,E,2016,27
1 - 17,0,None,0,White,White,0,0,0,U,2016,34
1 - 17,0,None,0,White,Black or African American,1,0,0,G,2016,27
1 - 17,0,None,0,White,White,0,0,0,B,2016,38
1 - 17,0,None,0,White,White,1,0,0,B,2016,38
1 - 17,1,Blade,1,White,Hispanic,0,0,1,F,2016,31
1 - 17,0,None,0,Asian,Black or African American,0,1,1,S,2016,34
1 - 17,0,None,0,White,White,1,0,0,B,2016,33
1 - 17,0,None,0,Black or African American,White,0,1,0,W,2016,58
1 - 17,0,None,1,White,Black or African American,0,0,0,B,2016,45
1 - 17,0,None,0,White,Black or African American,0,0,1,G,2016,24
1 - 17,0,None,0,Black or African American,Black or African American,0,0,0,J,2016,40
1 - 17,1,None,0,White,Black or African American,1,0,0,R,2016,45
1 - 17,0,None,0,White,Black or African American,1,0,0,R,2016,45
1 - 17,0,None,0,White,Black or African American,0,0,1,S,2016,41
1 - 17,1,None,0,Hispanic or Latino,Black or African American,0,0,1,S,2016,36
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,C,2016,51
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,C,2016,51
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2016,25
1 - 17,0,None,0,White,Black or African American,0,0,1,L,2016,38
1 - 17,0,None,0,White,Black or African American,0,None,0,S,2016,45
1 - 17,0,None,0,White,Hispanic,0,0,0,F,2016,45
1 - 17,0,None,0,White,Hispanic,1,0,0,F,2016,33
1 - 17,1,None,0,White,Black or African American,0,1,1,S,2016,41
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,C,2016,51
1 - 17,1,None,0,Black or African American,Black or African American,0,0,1,L,2016,46
1 - 17,1,None,1,Two or More Races,Black or African American,0,0,0,M,2016,24
1 - 17,0,None,0,White,White,0,0,0,U,2016,30
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,31
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,31
1 - 17,1,None,0,White,Asian,0,0,0,L,2015,38
1 - 17,0,None,0,White,Black or African American,0,None,1,E,2016,32
1 - 17,0,None,0,White,Black or African American,0,None,0,C,2016,25
1 - 17,0,None,1,White,White,0,None,0,W,2016,32
1 - 17,1,None,0,White,Black or African American,1,None,1,N,2016,52
1 - 17,0,None,0,White,White,0,None,0,F,2016,48
1 - 17,0,None,0,White,White,1,None,0,M,2016,58
1 - 17,0,None,0,White,American Indian or Alaska Native,1,None,0,M,2016,58
1 - 17,0,None,0,White,White,1,0,0,U,2016,26
1 - 17,0,None,0,White,White,0,0,0,Q,2016,30
1 - 17,0,None,0,White,White,0,0,0,Q,2016,30
1 - 17,0,None,0,White,Black or African American,0,1,1,G,2016,41
1 - 17,1,None,0,White,Multi-Racial,1,None,0,R,2016,28
1 - 17,0,None,1,Asian,Black or African American,0,0,0,S,2016,36
1 - 17,0,None,0,Asian,Hispanic,0,0,0,W,2016,54
1 - 17,1,None,0,White,White,0,0,1,Q,2016,49
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,Hispanic,1,0,0,F,2016,34
1 - 17,0,None,0,Black or African American,Multi-Racial,1,0,0,L,2016,46
1 - 17,0,None,1,White,White,0,1,0,M,2016,24
1 - 17,1,None,0,White,Black or African American,0,0,0,M,2016,46
1 - 17,1,None,0,White,White,0,0,0,D,2016,40
1 - 17,1,None,0,White,Black or African American,0,0,1,S,2016,42
1 - 17,0,None,0,Asian,White,0,0,0,L,2016,63
1 - 17,0,None,0,White,White,0,0,0,B,2016,38
1 - 17,0,None,0,White,White,1,0,0,B,2016,38
1 - 17,0,None,0,American Indian/Alaska Native,White,1,0,0,E,2016,33
1 - 17,0,None,0,White,Black or African American,0,None,1,S,2016,46
1 - 17,1,None,0,White,Black or African American,0,1,1,C,2016,32
1 - 17,0,None,0,Two or More Races,American Indian or Alaska Native,1,0,0,K,2016,28
1 - 17,1,None,0,White,Hispanic,0,0,0,F,2016,33
1 - 17,0,None,0,White,Black or African American,0,0,1,S,2016,35
1 - 17,0,None,0,Black or African American,Black or African American,1,0,0,C,2016,51
1 - 17,1,None,0,Nat Hawaiian/Oth Pac Islander,Asian,0,0,1,W,2016,34
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2016,25
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2016,25
1 - 17,0,None,0,White,Multi-Racial,0,0,1,L,2016,38
1 - 17,0,None,0,White,Black or African American,0,0,1,L,2016,38
1 - 17,0,None,1,White,White,0,0,1,F,2016,35
1 - 17,0,None,0,White,Black or African American,0,0,0,S,2016,25
1 - 17,0,None,0,White,Black or African American,0,1,0,S,2016,28
1 - 17,0,Firearm,0,White,White,1,0,1,F,2016,37
1 - 17,0,None,0,White,White,0,1,0,C,2016,46
1 - 17,0,None,0,White,White,0,1,0,U,2016,44
1 - 17,0,None,0,White,Black or African American,0,1,0,S,2016,35
1 - 17,0,None,0,White,Black or African American,0,1,1,S,2016,33
